evaluation_id,customer_message,previous_message,predicted_intent,draft_reply,human_relevance,human_grounding,human_helpfulness,human_overall_quality,human_unsupported_claim,human_notes
4,Hey @AppleSupport iOS11 update made my $900 iPad Pro unusable. The battery lasts 1/2 day even if just sitting there in airplane mode. #SUCKS,,battery_charging,We'd be happy to look into this with you. Please meet us in DM so we can gather some more information and better assist. https://t.co/GDrqU22YpT,5.0,5.0,3.0,4.0,0.0,
9,"@AppleSupport hey why is the remove episode option gone from the podcast app, subscribed podcasts keep popping up after I delete them",,apps_app_store,We'd like to help. Does this issue with deleted episodes reappearing occur with all podcasts or a specific one? Please meet us in DM so we can look into this further.,5.0,5.0,4.0,4.0,0.0,
10,"Hi @AppleSupport ,Apple Watch 3 has bug, restarts when you ask Siri on weather.please address this",,apple_services,"We'd like to look into this with you. Please send us a DM with your watchOS version, and we'll get started there.",5.0,5.0,4.0,4.0,0.0,
11,Hey .@115858 - how about you fix the I️ glitch - I️ mean - I️t’s not like I️ use the letter I️ every time I type!!!,,display_input,"We want to help get things working smoothly. We recently released iOS 11.1.1, which contains a fix for this autocorrect issue. Please back up your device prior to updating: https://t.co/4f8hwT5to6. If you still need help, DM us.",5.0,5.0,5.0,5.0,0.0,
12,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,,ios_update,We want to help get your iMessage working as soon as possible. Please send us a DM so we can look into this further and help find a solution.,5.0,4.0,4.0,3.0,0.0,
15,Anyone know how to covert an existing iCloud account to a child account? My kids would hate to lose any game data. cc @AppleSupport,,account_authentication,We'd love to help you with your family's iCloud accounts and make sure no game data is lost. Please join us in DM so we can gather more details and guide you through this: https://t.co/GDrqU22YpT,5.0,5.0,4.0,5.0,0.0,
19,@AppleSupport help I got a green line on the left side of my iPhone X screen and restarting it doesn’t make it go away,,apple_services,We'd like to help with the green line on your iPhone X. Please send us a DM with your location and the iOS version you are currently running so we can investigate further. https://t.co/GDrqU22YpT,5.0,4.0,4.0,4.0,0.0,
22,@AppleSupport It's 10.3.3. Although I'm convinced it's a screen issue rather than a software one.,@123511 We're happy to help. What version of iOS are you currently running? Find that in Settings &gt; General &gt; About.,ios_update,Understood. Let's hop in DM to look into this screen issue and continue there. Click here: https://t.co/GDrqU22YpT,5.0,5.0,5.0,5.0,0.0,
23,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",,apple_services,"We know how important it is to have access to your account. If you do not know your trusted number, you may need the assistance of our specialized Account Security team. Please review the support options on the following page to get started: https://t.co/UJm15vmMM2",5.0,5.0,5.0,5.0,0.0,
24,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,,display_input,"We're here to help. An update has been released that addresses this issue. If you haven't already, back up your device and update to iOS version 11.1.1. For more information, click here: https://t.co/xXaXeeSRt9 DM us if you have questions. https://t.co/GDrqU22YpT",5.0,5.0,5.0,5.0,0.0,
