evaluation_id,customer_tweet_id,customer_message,true_intent,predicted_intent,classifier_margin,top_similarity,draft_reply,evidence_used,escalate,escalation_reason,source,previous_message,has_context,intent,model_text,correct,auto_handled,id_str,has_generated_reply,judge_completed,judge_relevance,judge_grounding,judge_helpfulness,judge_overall_quality,judge_unsupported_claim,judge_short_reason,judge_major_issue
1,611285.0,Hey @115858 how can Siri really be my personal assistant if it won't integrate into 3rd party apps why can't I have it play Spotify where is the functionality?,apple_services,apple_services,1.5033,0.7006,We understand wanting Siri to work with your favorite apps. Let's look into this together. Please send us a DM so we can help.,"[""Historical responses consistently direct customers to DM when they have questions or feedback regarding Siri's integration with third-party apps and general functionality.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,4.0,4.0,0.0,"The reply is highly relevant to the customer's query about Siri and third-party apps, and it aligns perfectly with the historical support cases which consistently direct customers to DM for assistance.",none
2,400853.0,@AppleSupport Was able to help him via iTunes. Still weird the OTA didn’t work,ios_update,ios_update,1.528,0.7262,"We're glad you were able to complete the update using iTunes. To help us look into why the over-the-air update didn't work, did you see any specific error messages? If you'd like to troubleshoot this further, send us a DM.","""Acknowledged the successful iTunes update and asked about specific error messages during the failed OTA update, offering to continue in DM for further troubleshooting based on historical patterns of gathering error details and moving to DM for unresolved update issues.""",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, acknowledging the successful iTunes update while addressing the OTA issue. It is well-grounded in the historical cases, which frequently ask about error messages and offer DM support.",none
3,1099710.0,@379507 @AppleSupport Having the same issue.,apple_services,apple_services,1.3968,0.9835,"We'd like to look into this concern with you. Send us a DM with the details, and we'll continue there. https://t.co/GDrqU22YpT","[""Historical responses consistently invite the customer to DM to share details or device information so Apple Support can look into the concern.""]",True,The customer message does not provide enough specific information.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, perfectly grounded in the historical cases, and provides the correct next step for a customer reporting a generic issue.",none
4,1342708.0,Hey @AppleSupport iOS11 update made my $900 iPad Pro unusable. The battery lasts 1/2 day even if just sitting there in airplane mode. #SUCKS,battery_charging,battery_charging,1.4519,0.7644,We'd be happy to look into this with you. Please meet us in DM so we can gather some more information and better assist. https://t.co/GDrqU22YpT,"[""Historical responses to iPad battery issues after the iOS 11 update consistently invite the customer to DM to gather more details and provide personalized assistance.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, helpful, and perfectly grounded in the provided historical cases, which frequently suggest moving to DMs to resolve battery issues.",none
5,1687712.0,"Good afternoon, @AppleSupport! It’s always some shit with y’all and these iPhone updates, huh? https://t.co/cGR2qXnGNA",ios_update,ios_update,1.3934,0.8402,"We're here to help. What kind of issues are you experiencing since updating? Send us a DM with the details, and we'll work on a solution together. https://t.co/GDrqU22YpT","[""Historical responses consistently ask the customer what specific issues they are experiencing after the update and invite them to DM for further assistance using a specific link.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, polite, and directly addresses the customer's frustration with the update by asking for details in a DM. It is strongly grounded in the provided historical cases.",none
6,1121644.0,@AppleSupport App is shutting down randomly and unexpectedly,apps_app_store,apps_app_store,1.5746,0.8624,Thanks for reaching out. We'd like to help with this. Can you let us know which device model and iOS version you are using? Please send us a DM so we can continue. https://t.co/GDrqU22YpT,"[""Historical responses consistently ask for the device model and iOS version, and direct the customer to DM for further assistance.""]",True,The customer message does not provide enough specific information.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The reply is highly relevant, helpful, and strongly grounded in the historical cases, asking for the device model and iOS version via DM.",none
7,1747356.0,Is anyone else having problems downloading and updating apps? Lie your password is right but it’s just not doing it? @AppleSupport,apps_app_store,apps_app_store,1.3983,0.7833,"We'd be happy to look into this with you! To help us get started, what device and software version are you using? Also, does this happen on both Wi-Fi and cellular data?","[""Historical responses frequently ask for the device model, OS/iOS version, and whether the issue occurs on both Wi-Fi and cellular data.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, helpful, and perfectly grounded in the provided historical cases, asking standard troubleshooting questions about the device, software version, and network connection.",none
8,2119414.0,"So wtf y’all gon do about this I situation, @115858? Cuz I’m sick of sick this damn A n shit. 😒",display_input,display_input,0.9919,0.8104,"An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6","[""Suggested updating the device to iOS 11.1.1 to resolve the 'I' autocorrect issue as shown in historical response 4.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, perfectly grounded in Case 4, and provides the exact solution to the customer's issue with the 'I' autocorrect bug.",none
9,1983621.0,"@AppleSupport hey why is the remove episode option gone from the podcast app, subscribed podcasts keep popping up after I delete them",apps_app_store,apps_app_store,1.4296,0.8396,We'd like to help. Does this issue with deleted episodes reappearing occur with all podcasts or a specific one? Please meet us in DM so we can look into this further.,"[""Identified a pattern where Apple Support asks if the issue occurs with all or specific podcasts and invites the customer to DM to troubleshoot further when deleted episodes keep reappearing.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,already_generated,,,,,,,,True,True,5.0,5.0,4.0,4.0,0.0,"The reply is highly relevant, well-grounded in the provided historical cases (specifically Case 3), and offers a helpful next step by asking a clarifying question and inviting the customer to DM.",none
10,1605041.0,"Hi @AppleSupport ,Apple Watch 3 has bug, restarts when you ask Siri on weather.please address this",device_hardware,apple_services,0.0105132103284141,0.8831712007522583,"We'd like to look into this with you. Please send us a DM with your watchOS version, and we'll get started there.","[""Historical responses consistently direct customers experiencing Apple Watch crashes when asking Siri about the weather to send a DM, often requesting their watchOS version to investigate further.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,device_hardware,"Hi @AppleSupport ,Apple Watch 3 has bug, restarts when you ask Siri on weather.please address this",False,False,1605041.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, helpful, and perfectly grounded in the provided historical cases, which frequently ask the user to DM their watchOS version for this specific issue.",none
11,1752320.0,Hey .@115858 - how about you fix the I️ glitch - I️ mean - I️t’s not like I️ use the letter I️ every time I type!!!,display_input,display_input,1.4187250611202562,0.8824853301048279,"We want to help get things working smoothly. We recently released iOS 11.1.1, which contains a fix for this autocorrect issue. Please back up your device prior to updating: https://t.co/4f8hwT5to6. If you still need help, DM us.","[""Suggested updating to iOS 11.1.1 to resolve the 'I' autocorrect glitch, recommended backing up the device first, and offered to continue the conversation in DMs if issues persist.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,Hey .@115858 - how about you fix the I️ glitch - I️ mean - I️t’s not like I️ use the letter I️ every time I type!!!,True,True,1752320.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, fully grounded in the historical cases (specifically Case 3), and provides a helpful solution with a backup link.",none
12,2913352.0,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,apple_services,ios_update,0.0014964097780072,0.914628267288208,We want to help get your iMessage working as soon as possible. Please send us a DM so we can look into this further and help find a solution.,"[""Moving the conversation to DM to investigate ongoing, unresolved iMessage issues as seen in historical responses to persistent problems.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,apple_services,@AppleSupport my iMessage has not worked in over a month at this point. I’ve spent considerable amount of time with your customer support to get this solved but there has been no solution yet. Please work to solve this as soon as possible. This is extremely frustrating.,False,False,2913352.0,True,True,5.0,5.0,4.0,4.0,0.0,"The reply is relevant and grounded in the historical cases, offering to continue the conversation in DM. However, it could have acknowledged the customer's frustration regarding their previous unsuccessful support interactions.",none
